OBJECTID,ADM0_NAME,DateOfDataEntry,cum_conf,NewCase,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,GUID,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR
1,Afghanistan,2020-02-25T00:00:00.000Z,1,1,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
2,Afghanistan,2020-02-26T00:00:00.000Z,1,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
3,Afghanistan,2020-02-27T00:00:00.000Z,1,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
4,Afghanistan,2020-02-28T00:00:00.000Z,1,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
5,Afghanistan,2020-02-29T00:00:00.000Z,1,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
6,Afghanistan,2020-03-01T00:00:00.000Z,1,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
7,Afghanistan,2020-03-02T00:00:00.000Z,1,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
8,Afghanistan,2020-03-03T00:00:00.000Z,1,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
9,Afghanistan,2020-03-04T00:00:00.000Z,1,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
10,Afghanistan,2020-03-05T00:00:00.000Z,1,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
11,Afghanistan,2020-03-06T00:00:00.000Z,1,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
12,Afghanistan,2020-03-07T00:00:00.000Z,1,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
13,Afghanistan,2020-03-08T00:00:00.000Z,4,3,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
14,Afghanistan,2020-03-09T00:00:00.000Z,4,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
15,Afghanistan,2020-03-10T00:00:00.000Z,4,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
16,Afghanistan,2020-03-11T00:00:00.000Z,4,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
17,Afghanistan,2020-03-12T00:00:00.000Z,7,3,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
18,Afghanistan,2020-03-13T00:00:00.000Z,7,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
19,Afghanistan,2020-03-14T00:00:00.000Z,7,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
20,Afghanistan,2020-03-15T00:00:00.000Z,10,3,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
21,Afghanistan,2020-03-16T00:00:00.000Z,16,6,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
22,Afghanistan,2020-03-17T00:00:00.000Z,21,5,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
23,Afghanistan,2020-03-18T00:00:00.000Z,22,1,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
24,Afghanistan,2020-03-19T00:00:00.000Z,22,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
25,Afghanistan,2020-03-20T00:00:00.000Z,22,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
26,Afghanistan,2020-03-21T00:00:00.000Z,24,2,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
27,Afghanistan,2020-03-22T00:00:00.000Z,24,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
28,Afghanistan,2020-03-23T00:00:00.000Z,40,16,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
29,Afghanistan,2020-03-24T00:00:00.000Z,42,2,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
30,Afghanistan,2020-03-25T00:00:00.000Z,74,32,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
31,Afghanistan,2020-03-26T00:00:00.000Z,80,6,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
32,Afghanistan,2020-03-27T00:00:00.000Z,80,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
33,Afghanistan,2020-03-28T00:00:00.000Z,106,26,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
34,Afghanistan,2020-03-29T00:00:00.000Z,114,8,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
35,Afghanistan,2020-03-30T00:00:00.000Z,114,0,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
36,Afghanistan,2020-03-31T00:00:00.000Z,166,52,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
37,Afghanistan,2020-04-01T00:00:00.000Z,192,26,66.02652977,33.83890116,Afghanistan,bf4e1516-20f9-4d0b-afee-15fb1fbbbbbe,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
38,Albania,2020-03-09T00:00:00.000Z,2,2,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
39,Albania,2020-03-10T00:00:00.000Z,2,0,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
40,Albania,2020-03-11T00:00:00.000Z,10,8,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
41,Albania,2020-03-12T00:00:00.000Z,10,0,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
42,Albania,2020-03-13T00:00:00.000Z,23,13,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
43,Albania,2020-03-14T00:00:00.000Z,33,10,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
44,Albania,2020-03-15T00:00:00.000Z,38,5,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
45,Albania,2020-03-16T00:00:00.000Z,42,4,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
46,Albania,2020-03-17T00:00:00.000Z,51,9,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
47,Albania,2020-03-18T00:00:00.000Z,55,4,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
48,Albania,2020-03-19T00:00:00.000Z,59,4,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
49,Albania,2020-03-20T00:00:00.000Z,70,11,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
50,Albania,2020-03-21T00:00:00.000Z,70,0,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
51,Albania,2020-03-22T00:00:00.000Z,76,6,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
52,Albania,2020-03-23T00:00:00.000Z,89,13,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
53,Albania,2020-03-24T00:00:00.000Z,123,34,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
54,Albania,2020-03-25T00:00:00.000Z,146,23,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
55,Albania,2020-03-26T00:00:00.000Z,174,28,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
56,Albania,2020-03-27T00:00:00.000Z,186,12,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
57,Albania,2020-03-28T00:00:00.000Z,197,11,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
58,Albania,2020-03-29T00:00:00.000Z,212,15,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
59,Albania,2020-03-30T00:00:00.000Z,223,11,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
60,Albania,2020-03-31T00:00:00.000Z,223,0,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
61,Albania,2020-04-01T00:00:00.000Z,243,20,20.06917817,41.14595803,Albania,c7192fcc-f547-44ed-a758-3d8e48420cef,阿尔巴尼亚,Albanie,Albania,Албания,ألبانيا
62,Algeria,2020-02-26T00:00:00.000Z,1,1,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
63,Algeria,2020-02-27T00:00:00.000Z,1,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
64,Algeria,2020-02-28T00:00:00.000Z,1,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
65,Algeria,2020-02-29T00:00:00.000Z,1,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
66,Algeria,2020-03-01T00:00:00.000Z,1,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
67,Algeria,2020-03-02T00:00:00.000Z,1,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
68,Algeria,2020-03-03T00:00:00.000Z,5,4,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
69,Algeria,2020-03-04T00:00:00.000Z,5,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
70,Algeria,2020-03-05T00:00:00.000Z,12,7,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
71,Algeria,2020-03-06T00:00:00.000Z,12,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
72,Algeria,2020-03-07T00:00:00.000Z,17,5,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
73,Algeria,2020-03-08T00:00:00.000Z,17,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
74,Algeria,2020-03-09T00:00:00.000Z,20,3,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
75,Algeria,2020-03-10T00:00:00.000Z,20,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
76,Algeria,2020-03-11T00:00:00.000Z,20,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
77,Algeria,2020-03-12T00:00:00.000Z,25,5,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
78,Algeria,2020-03-13T00:00:00.000Z,25,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
79,Algeria,2020-03-14T00:00:00.000Z,37,12,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
80,Algeria,2020-03-15T00:00:00.000Z,49,12,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
81,Algeria,2020-03-16T00:00:00.000Z,49,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
82,Algeria,2020-03-17T00:00:00.000Z,60,11,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
83,Algeria,2020-03-18T00:00:00.000Z,60,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
84,Algeria,2020-03-19T00:00:00.000Z,72,12,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
85,Algeria,2020-03-20T00:00:00.000Z,82,10,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
86,Algeria,2020-03-21T00:00:00.000Z,94,12,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
87,Algeria,2020-03-22T00:00:00.000Z,94,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
